id,title,authors,year,journal,discipline,citations2019,p_rep,arm,name
ee.1,Reference points and effort provision,Johannes Abeler and Armin Falk and Lorenz Goette and David Huffman,2011,The American Economic Review,Economics,311,0.16,refuted,reference_points_and_effort_provision
ee.10,The lure of authority: Motivation and incentive effects of power,Ernst Fehr and Holger Herz and Tom Wilkening,2013,The American Economic Review,Economics,82,0.026000001,robust,the_lure_of_authority_motivation_and_inc
ee.11,A continuous dilemma,Daniel Friedman and Ryan Oprea,2012,The American Economic Review,Economics,52,0.004276,robust,a_continuous_dilemma
ee.12,Slow to anger and fast to forgive: cooperation in an uncertain world,Drew Fudenberg and David G. Rand and Anna Dreber,2012,The American Economic Review,Economics,122,0.00015064729,robust,slow_to_anger_and_fast_to_forgive_cooper
ee.13,Deferred compensation in multiperiod labor contracts: an experimental test of Lazear's model,Steffen Huck and Andrew J. Seltzer and Brian Wallace,2011,The American Economic Review,Economics,14,0.1415,refuted,deferred_compensation_in_multiperiod_lab
ee.14,Happiness and time preference: The effect of positive affect in a random-assignment experiment,John Ifcher and Homa Zarghamee,2011,The American Economic Review,Economics,91,0.93300003,refuted,happiness_and_time_preference_the_effect
ee.15,Organ Allocation Policy and the Decision to Donate,Judd B. Kessler and Alvin E. Roth,2012,The American Economic Review,Economics,37,0.016000001,robust,organ_allocation_policy_and_the_decision
ee.16,Thar she bursts: Reducing confusion reduces bubbles,Michael Kirchler and Jürgen Huber and Thomas Stöckl,2012,The American Economic Review,Economics,102,0.0094999997,robust,thar_she_bursts_reducing_confusion_reduc
ee.17,Coordination in the Presence of Asset Markets,Shimon Kogan and Anthony M. Kwasnica and Roberto A. Weber,2011,The American Economic Review,Economics,20,0.001,robust,coordination_in_the_presence_of_asset_ma
ee.18,“Last-Place Aversion”: Evidence and Redistributive Implications,Ilyana Kuziemko and Ryan W. Buell and Taly Reich and Michael I. Norton,2014,The Quarterly Journal of Economics,Economics,48,0.154,refuted,last_place_aversion_evidence_and_redistr
ee.2,Imperfect public monitoring with costly punishment: An experimental study,Attila Ambrus and Ben Greiner,2012,The American Economic Review,Economics,58,0.012,robust,imperfect_public_monitoring_with_costly_
ee.3,"Screening, Competition, and Job Design: Economic Origins of Good Jobs",Björn Bartling and Ernst Fehr and Klaus M. Schmidt,2012,The American Economic Review,Economics,72,0.001,robust,screening_competition_and_job_design_eco
ee.4,Participation,Gary Charness and Martin Dufwenberg,2011,The American Economic Review,Economics,63,0.003,robust,participation
ee.5,The Potential of Social Identity for Equilibrium Selection,Roy Chen and Yan Chen,2011,The American Economic Review,Economics,114,0.57099998,refuted,the_potential_of_social_identity_for_equ
ee.6,On the selection of arbitrators,Geoffroy De Clippel and Kfir Eliaz and Brian G. Knight,2014,The American Economic Review,Economics,7,4.0000001e-10,robust,on_the_selection_of_arbitrators
ee.7,Gift exchange versus monetary exchange: Theory and evidence,John Duffy and Daniela Puzzello,2014,The American Economic Review,Economics,8,0.67400002,refuted,gift_exchange_versus_monetary_exchange_t
ee.8,"The Economics of Credence Goods: An Experiment on the Role of Liability, Verifiability, Reputation, and Competition",Uwe Dulleck and Rudolf Kerschbamer and Matthias Sutter,2011,The American Economic Review,Economics,115,0.00079999998,robust,the_economics_of_credence_goods_an_exper
ee.9,Expectations as Endowments: Evidence on Reference-Dependent Preferences from Exchange and Valuation Experiments,Keith M. Marzilli Ericson and Andreas Fuster,2011,The Quarterly Journal of Economics,Economics,129,0.0546,refuted,expectations_as_endowments_evidence_on_r
ml1.1,Instructional manipulation checks: Detecting satisficing to increase statistical power,Daniel M. Oppenheimer and Tom Meyvis and Nicolas Davidenko,2009,Journal of Experimental Social Psychology,Social,614,0.0547237522120049,refuted,instructional_manipulation_checks_detect
